gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Timp3,Astro,1.8445857902855115e-13,0.6099524093593851,0.641,0.435,3.873630159599574e-9
Ptges3,Astro,2.005795735508683e-13,-0.6253104041634763,0.208,0.39,4.212171044568234e-9
Hey1,Astro,2.4252069336239965e-13,-0.5591379251916712,0.146,0.321,5.0929345606103925e-9
Bsg,Astro,2.4883697066218495e-13,-1.4380222594392413,0.751,0.815,5.225576383905884e-9
Appl2,Astro,2.8597861740397345e-13,0.5625214815000901,0.594,0.375,6.005550965483442e-9
Sparc,Astro,2.9133284550108896e-13,-1.0709322178078502,0.423,0.595,6.117989755522868e-9
Jun,Astro,3.109284764789093e-13,-0.8750102428640206,0.249,0.43,6.529498006057095e-9
Pcp4,Astro,3.1473425193047985e-13,-1.2622342924578613,0.269,0.469,6.609419290540077e-9
Arpc2,Astro,4.50445193434388e-13,-0.5246575924239099,0.403,0.583,9.459349062122148e-9
Lsm4,Astro,5.768277406833784e-13,-0.5946540232085765,0.209,0.39,1.2113382554350946e-8
Ccnl2,Astro,5.933069300847825e-13,-0.5557254112621242,0.138,0.309,1.2459445531780432e-8
Scrn1,Astro,6.112245252355281e-13,-0.48902605048166686,0.089,0.24,1.283571502994609e-8
Maf1,Astro,9.308919791616331e-13,-0.4707159628586273,0.121,0.289,1.9548731562394297e-8
Acaa2,Astro,9.850384645298686e-13,0.5593376104831818,0.641,0.412,2.068580775512724e-8
Gng13,Astro,1.0626941470835461e-12,-0.4653891368849181,0.041,0.158,2.231657708875447e-8
Id1,Astro,1.072884044825104e-12,-1.26431750671245,0.217,0.39,2.2530564941327184e-8
Anxa5,Astro,1.1044193876099182e-12,0.4994195606765963,0.637,0.422,2.3192807139808283e-8
Cox4nb,Astro,1.1482109105840788e-12,-0.49872755366797994,0.199,0.383,2.4112429122265655e-8
Tmem70,Astro,1.4557697313605865e-12,-0.40533464592598784,0.061,0.195,3.0571164358572316e-8
Mapkap1,Astro,1.4564284869757264e-12,-0.33089780268129976,0.039,0.156,3.0584998226490256e-8
Fez2,Astro,1.5447240205791758e-12,-0.45432536112554434,0.071,0.21,3.243920443216269e-8
